stymulus;assoc1;assoc2;assoc3;morph.connection;structure
Фотаапарат;фотаздымак;;;present;compound
Ручнік;бруд;;;absent;non-compound
Бензапіла;дровы;;;absent;compound
Насарог;бег;;;absent;compound
Завушніца;вуха;;;present;non-compound
Бегемот;вада;;;absent;non-compound
Відэазапіс;кампрамат;;;absent;compound
Мышалоўка;пацук;;;absent;compound
Паштоўка;канверт;;;absent;non-compound
Васьміног;мора;;;absent;compound
Матрос;карабель;;;absent;non-compound
Парасон;дождж;;;absent;non-compound
Бензазапраўка;машына;матацыкл;;absent;compound
Сонцастаянне;дзень;ноч;;absent;compound
Паштальён;Печкін;;;absent;non-compound
Мухабойка;муха;;;present;compound
Айсберг;Тытанік;;;absent;non-compound
Кашалёк;манеты;;;absent;non-compound
Вадаспад;Ніягарскі;;;absent;compound
Морква;трус;;;absent;non-compound
Мясапрадукт;акула;;;absent;compound
Сяброўства;веласапед;;;absent;non-compound
Кава-машына;раніца;;;absent;compound
Попельніца;дым;;;absent;non-compound
Фотаапарат;тіхар;;;absent;compound
Ручнік;баня;;;absent;non-compound
Бензапіла;дровы;;;absent;compound
Насарог;мультфільм;;;absent;compound
Завушніца;камень;;;absent;non-compound
Бегемот;Мадагаскар;;;absent;non-compound
Відэазапіс;інтэрв'ю;;;absent;compound
Мышалоўка;Джэры;;;absent;compound
Паштоўка;паштальён;Печкін;;present;non-compound
Васьміног;кракен;;;absent;compound
Матрос;кот;;;absent;non-compound
Парасон;дождж;;;absent;non-compound
Бензазапраўка;каністра;;;absent;compound
Фотаапарат;кадр;;;absent;compound
Ручнік;баня;;;absent;non-compound
Бензапіла;дровы;;;absent;compound
Насарог;Афрыка;;;absent;compound
Завушніца;упрыгожванне;;;absent;non-compound
Бегемот;Афрыка;;;absent;non-compound
Відэазапіс;успаміны;;;absent;compound
Мышалоўка;сыр;;;absent;compound
Паштоўка;паштальён;;;present;non-compound
Васьміног;акіян;;;absent;compound
Матрос;флот;;;absent;non-compound
Парасон;непагода;;;absent;non-compound
Бензазапраўка;машына;;;absent;compound
Сонцастаянне;доўгі дзень;;;absent;compound
Паштальён;пасылка;;;absent;non-compound
Мухабойка;муха;;;present;compound
Айсберг;холад;;;absent;non-compound
Кашалёк;грошы;;;absent;non-compound
Вадаспад;прыгажосць;;;absent;compound
Морква;сок;;;absent;non-compound
Мясапрадукт;ежа;;;absent;compound
Сяброўства;шашлык;;;absent;non-compound
Кава-машына;пах кавы;;;present;compound
Попельніца;цыгарэты;;;absent;non-compound
Сонцастаянне;з'ява прыроды;;;absent;compound
Паштальён;мультфільм;;;absent;non-compound
Мухабойка;вёска;;;absent;compound
Айсберг;фільм;;;absent;non-compound
Кашалёк;грошы;;;absent;non-compound
Вадаспад;адпачынак;;;absent;compound
Морква;салат;;;absent;non-compound
Мясапрадукт;рэстаран;;;absent;compound
Сяброўства;сяброўка;;;present;non-compound
Кава-машына;перапынак;;;absent;compound
Попельніца;цыгарэты;;;absent;non-compound
Фотаапарат;фотаздымак;;;present;compound
Ручнік;машына;;;absent;non-compound
Бензапіла;дровы;;;absent;compound
Насарог;Афрыка;;;absent;compound
Завушніца;упрыгожванне;;;absent;non-compound
Бегемот;лужына;;;absent;non-compound
Відэазапіс;падарожжа;;;absent;compound
Мышалоўка;мыш;;;present;compound
Паштоўка;ліст;;;absent;non-compound
Васьміног;акіян;;;absent;compound
Матрос;лодка;;;absent;non-compound
Парасон;дождж;;;absent;non-compound
Бензазапраўка;машына;;;absent;compound
Фотаапарат;фотаздымак;;;present;compound
Ручнік;кухня;;;absent;non-compound
Бензапіла;дровы;;;absent;compound
Насарог;Афрыка;;;absent;compound
Завушніца;упрыгожванне;;;absent;non-compound
Бегемот;вялікі;;;absent;non-compound
Відэазапіс;свята;;;absent;compound
Мышалоўка;сыр;;;absent;compound
Паштоўка;сябр;;;absent;non-compound
Васьміног;мора;;;absent;compound
Матрос;капітан;;;absent;non-compound
Парасон;лужа;;;absent;non-compound
Бензазапраўка;падарожжа;;;absent;compound
Сонцастаянне;дзень;ноч;;absent;compound
Паштальён;пошта;;;present;non-compound
Мухабойка;мухі;;;present;compound
Айсберг;лёд;;;absent;non-compound
Кашалёк;грошы;;;absent;non-compound
Вадаспад;вада;спад;;present;compound
Морква;гародніна;;;absent;non-compound
Мясапрадукт;мяса;;;present;compound
Сяброўства;сяброўка;;;present;non-compound
Кава-машына;кава;;;present;compound
Попельніца;цыгарэты;;;absent;non-compound
Фотаапарат;турыст;фотаздымак;;present;compound
Ручнік;вёска;бабуля;;absent;non-compound
Бензапіла;дровы;;;absent;compound
Насарог;рог;жывёла;;present;compound
Завушніца;срэбра;прыгажосць;;absent;non-compound
Бегемот;пустыня;вялізнасць;;absent;non-compound
Відэазапіс;сям'я;відэа;;present;compound
Мышалоўка;мыш;пастка;;present;compound
Паштоўка;марка;пошта;;present;non-compound
Васьміног;акіян;каралы;соль;absent;compound
Матрос;карабель;мора;;absent;non-compound
Парасон;дождж;плашч;;absent;non-compound
Бензазапраўка;бензін;машына;каністра;present;compound
Сонцастаянне;сонца;святло;;present;compound
Паштальён;пошта;пасылка;;present;non-compound
Мухабойка;муха;;;present;compound
Айсберг;лёд;акіян;;absent;non-compound
Кашалёк;грошы;карта;;absent;non-compound
Вадаспад;вада;прырода;;present;compound
Морква;агарод;гародніна;;absent;non-compound
Мясапрадукт;мяса;ежа;гусь;present;compound
Сяброўства;сябры;узаемаадносіны;;present;non-compound
Кава-машына;кава;карыца;;present;compound
Попельніца;цыгарэты;здароўе;;absent;non-compound
Сонцастаянне;цяплыня;;;absent;compound
Паштальён;паштоўка;;;present;non-compound
Мухабойка;смерць;;;absent;compound
Айсберг;глыба;лёд;;absent;non-compound
Кашалёк;грошы;;;absent;non-compound
Вадаспад;вада;;;present;compound
Морква;гародніна;;;absent;non-compound
Мясапрадукт;свініна;вяндліца;;absent;compound
Сяброўства;давер;гульня;;absent;non-compound
Кава-машына;зерне;;;absent;compound
Попельніца;цыгарэты;;;absent;non-compound
